equipo,jugador,posicion,club,edad,goles,asistencias,minutos_jugados,estado_fisico,titular_probable,xg_jugador,tarjetas_amarillas,tarjetas_rojas,notas,fecha_actualizacion
USA,Christian Pulisic,DEL,AC Milan,27.0,32.0,,,disponible,True,,2.0,0.0,"Capitán, estrella principal",2026-06-06
USA,Ricardo Pepi,DEL,PSV Eindhoven,23.0,13.0,,,disponible,True,,0.0,0.0,9 de referencia,2026-04-26
USA,Weston McKennie,MED,Juventus,27.0,12.0,,,disponible,True,,3.0,0.0,Motor central,2026-04-26
USA,Brenden Aaronson,MED,Leeds United,25.0,9.0,,,disponible,True,,2.0,1.0,Banda izquierda,2026-04-26
USA,Timothy Weah,DEL,Olympique Marseille,24.0,7.0,,,disponible,True,,1.0,2.0,Banda derecha,2026-04-26
USA,Folarin Balogun,DEL,AS Monaco,23.0,8.0,,,disponible,True,,1.0,1.0,Delantero alternativo,2026-04-26
USA,Antonee Robinson,DEF,Fulham,28.0,0.0,,,disponible,True,,2.0,0.0,Lateral izquierdo titular,2026-05-09
USA,Matt Turner,POR,New England Revolution,31.0,0.0,,,disponible,False,,0.0,1.0,Portero titular,2026-05-09
USA,Tyler Adams,MED,-,27.0,0.0,,,duda_/_lesiones_recurrentes,True,,4.0,,Crucial cuando está disponible,2026-04-26
USA,Sergiño Dest,DEF,PSV Eindhoven,23.0,0.0,,,duda,False,,0.0,,EST: lateral derecho titular cuando disponible; hamstring injury 7-mar-2026. FAR: Declaró 'I'm almost back' ~21-abr-2026 vía Instagram USMNT. Estado: duda activa para Mundial. Confianza: Alta (ESPN),2026-04-26
USA,Patrick Agyemang,DEL,Derby County,25.0,0.0,,,lesionado,False,,0.0,1.0,EST: Achilles tendon tear 6-abr-2026; Derby County confirmó descarte oficial del Mundial 2026. FAR: ESPN reportó lesión + confirmación de baja; BBC cubrió el impacto en plantel USA. Confianza: Alta (ESPN BBC) EST-ESPN-CARRERA: APP=119; G=36; YC=18; RC=1.,2026-05-09
USA,Matthew Freese,POR,New York City FC,27.0,0.0,,,disponible,True,,0.0,1.0,EST: arquero USMNT en ascenso; listado en plantilla ESPN 2026. FAR: Perfilado por cobertura reciente como principal competidor por titularidad en portería. Confianza: Alta (ESPN) EST-ESPN-CARRERA: APP=145; G=0; YC=11; RC=1.,2026-05-09
USA,Patrick Schulte,POR,Columbus Crew,25.0,0.0,,,disponible,False,,0.0,0.0,EST: arquero convocado en roster USMNT 2026. FAR: alternativa de recambio en portería. Confianza: Alta (ESPN) EST-ESPN-CARRERA: APP=128; G=0; YC=9; RC=0.,2026-05-09
USA,Chris Brady,POR,Chicago Fire,22.0,0.0,,,disponible,False,,0.0,1.0,EST: arquero joven incluido en roster USMNT 2026. FAR: proyección a mediano plazo para selección mayor. Confianza: Alta (ESPN) EST-ESPN-CARRERA: APP=110; G=0; YC=9; RC=1.,2026-05-09
USA,Mark McKenzie,DEF,Toulouse,27.0,0.0,,,disponible,False,,1.0,2.0,EST: central convocado en roster USMNT 2026. FAR: opción de rotación en zaga. Confianza: Alta (ESPN) EST-ESPN-CARRERA: APP=260; G=7; YC=32; RC=2.,2026-05-09
USA,Tim Ream,DEF,Charlotte FC,38.0,0.0,,,disponible,False,,1.0,2.0,EST: defensor veterano convocado en roster USMNT 2026. FAR: liderazgo y experiencia de vestuario. Confianza: Alta (ESPN) EST-ESPN-CARRERA: APP=569; G=8; YC=28; RC=2.,2026-05-09
USA,Auston Trusty,DEF,Celtic,27.0,0.0,,,disponible,False,,1.0,5.0,EST: defensor zurdo en roster USMNT 2026. FAR: alternativa para línea de cuatro o tres centrales. Confianza: Alta (ESPN) EST-ESPN-CARRERA: APP=311; G=11; YC=39; RC=5.,2026-05-09
USA,Alex Freeman,DEF,Orlando City,21.0,0.0,,,disponible,False,,0.0,0.0,EST: lateral/defensor joven incluido en roster USMNT 2026. FAR: perfil de proyección. Confianza: Alta (ESPN) EST-ESPN-CARRERA: APP=64; G=8; YC=6; RC=0.,2026-05-09
USA,Joe Scally,DEF,Borussia Monchengladbach,23.0,0.0,,,disponible,False,,1.0,0.0,EST: lateral convocado en roster USMNT 2026. FAR: alternativa natural por ambos costados defensivos. Confianza: Alta (ESPN) EST-ESPN-CARRERA: APP=187; G=5; YC=30; RC=0.,2026-05-09
USA,Chris Richards,DEF,Crystal Palace,26.0,0.0,,,duda,False,,1.0,1.0,ESPN 2026-06-05: fuera del ultimo amistoso pre-Mundial por lesion de ligamentos en tobillo (17-may); disponibilidad para debut ante Paraguay sigue en duda.,2026-06-06
USA,Cristian Roldan,MED,Seattle Sounders,30.0,0.0,,,disponible,False,,1.0,0.0,EST: mediocampista convocado en roster USMNT 2026. FAR: experiencia y equilibrio táctico desde banca. Confianza: Alta (ESPN) EST-ESPN-CARRERA: APP=437; G=46; YC=38; RC=0.,2026-05-09
USA,Giovanni Reyna,MED,Nottingham Forest,23.0,0.0,,,disponible,True,,1.0,0.0,EST: mediocampista ofensivo convocado en roster USMNT 2026. FAR: talento diferencial cuando está sano. Confianza: Alta (ESPN) EST-ESPN-CARRERA: APP=201; G=25; YC=15; RC=0.,2026-05-09
USA,Johnny Cardoso,MED,Real Betis,24.0,0.0,,,disponible,False,,2.0,0.0,EST: pivote convocado en roster USMNT 2026. FAR: competencia directa en medio defensivo. Confianza: Alta (ESPN) EST-ESPN-CARRERA: APP=236; G=13; YC=32; RC=0.,2026-05-09
USA,Aidan Morris,MED,Middlesbrough,24.0,0.0,,,disponible,False,,1.0,1.0,EST: mediocampista convocado en roster USMNT 2026. FAR: profundidad en doble pivote. Confianza: Alta (ESPN) EST-ESPN-CARRERA: APP=196; G=7; YC=24; RC=1.,2026-05-09
