codigo_fifa,equipo,grupo,prioridad,priority_score,missing_team_fields_count,players_count,slot_gap_to_top8,missing_player_cells,hist_matches_count,md_file,md_sections_count,md_has_jugadores,md_has_noticias,missing_items
ALG,Algeria,J,Critica,55,10,3,5,15,0,algeria.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
ARG,Argentina,J,Critica,55,9,3,5,15,0,argentina.md,4,0,0,"team:esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
AUT,Austria,J,Critica,55,10,3,5,15,0,austria.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
BIH,Bosnia and Herzegovina,B,Critica,55,10,3,5,15,0,bosnia_and_herzegovina.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
CPV,Cabo Verde,H,Critica,55,10,3,5,15,0,cabo_verde.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
CAN,Canada,B,Critica,55,10,3,5,15,0,canada.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
COL,Colombia,K,Critica,55,10,3,5,15,0,colombia.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
COD,Congo DR,K,Critica,55,10,3,5,15,0,congo_dr.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
CIV,Cote d'Ivoire,E,Critica,55,10,3,5,15,0,cote_divoire.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
CRO,Croatia,L,Critica,55,10,3,5,15,0,croatia.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
